miles,form
81171.1,a
81418.9,a
79781.4,a
79093,a
81211.8,a
76364.1,a
81260.2,a
79447.6,a
79431.7,a
78161.4,a
79767.5,a
83634.6,a
80741.3,a
81040.4,a
78498.9,a
81633.8,a
78227.3,a
79336.8,a
82241.4,a
80597.4,a
81559.2,b
82911.6,b
78711.3,b
76893.7,b
76804.6,b
83610.2,b
79036.7,b
81240.8,b
81224.2,b
79675.4,b
81623.7,b
84393.7,b
84098.4,b
83264.9,b
80508.5,b
80982.4,b
79351.8,b
76675.9,b
83535.5,b
80051.6,b
82257,c
75239.3,c
77879.5,c
81874.3,c
81708.9,c
82921.5,c
77173.8,c
81134.8,c
81166.4,c
77386.4,c
78919.2,c
83895.4,c
80107.2,c
80703.3,c
78658,c
80555.9,c
81382.3,c
81647.6,c
84290.1,c
75306.1,c
80299.2,d
77314.9,d
81106.6,d
83179.9,d
78826.2,d
76335.2,d
81776.3,d
83187,d
81033.7,d
77408.7,d
80109.2,d
78430.7,d
77901.3,d
84661,d
82805.4,d
81885.2,d
81652.5,d
78376.9,d
80952.5,d
82042.5,d
