loss,retail,area,traffic
1870.22,0,1681,373
1531.97,1,1448,149
1437.93,1,1322,217
1537.32,1,1356,347
1627.61,1,1429,384
1690.62,1,1568,228
1819.33,1,1644,337
2066.5,0,1880,365
1524.66,1,1445,142
1887.91,1,1727,307
1623.63,1,1458,316
1695.84,1,1514,345
1756.68,1,1555,388
1365.13,1,1169,373
1488.71,0,1372,225
1714.55,1,1552,313
1579.28,1,1393,354
1235.57,1,1114,229
1387.01,0,1207,352
1851.25,1,1690,307
1469.78,1,1301,320
1444.94,0,1252,381
1501.63,1,1415,158
1375.98,1,1238,261
1443.05,1,1417,36
1806.66,1,1716,165
1634.42,1,1471,312
1205.33,1,1067,261
1465.18,1,1345,223
1952.64,1,1815,259
1602.67,1,1389,409
1717.16,1,1574,274
1934.26,1,1770,314
1618.47,1,1448,327
1954.47,0,1684,536
1716.33,0,1483,460
1816.81,1,1636,346
1569.96,1,1421,282
1369.02,0,1204,323
1867.45,0,1645,440
1547.68,0,1346,402
1330.74,1,1246,155
1566.69,1,1441,230
2167.19,1,1875,570
1506.56,1,1286,425
1548.78,1,1412,257
1760.43,1,1546,413
1668.6,0,1496,337
1696.82,0,1580,228
1994.45,1,1946,81
1759.25,1,1615,269
1518.54,1,1386,247
1894.56,0,1684,417
1739.01,1,1534,394
2415.5,1,2306,203
1841.21,1,1728,213
1747.55,1,1608,261
838.58,1,795,70
1262.59,1,1183,144
1434.46,1,1300,249
1634.81,1,1491,271
1624.47,1,1511,212
1848.78,0,1692,309
1211.04,1,1062,282
1807.87,1,1690,220
1434.78,0,1216,432
2021.04,1,1833,362
1556.2,1,1468,160
1447.66,0,1285,318
1536.95,1,1373,312
1817.07,1,1585,447
2029.5,0,1845,362
1698.27,1,1593,199
1719.38,0,1585,264
1267.69,1,1002,514
1618.76,1,1430,359
1375.59,1,1266,205
1672.51,1,1521,289
1371.51,1,1294,141
2108.02,1,2010,182
1350.41,1,1252,182
1573.55,1,1470,190
1344.35,0,1231,222
1584.92,1,1518,118
1350.32,0,1238,217
1711.25,1,1587,234
1410.81,1,1317,174
1924.53,0,1827,187
1813.43,0,1673,275
1664.19,1,1363,588
2231.14,1,2006,435
1635.24,1,1555,144
2075.89,1,1949,235
1582.25,1,1418,315
2214.1,1,2109,192
1549.72,1,1407,268
1116.27,1,1049,118
1546.4,0,1461,164
1955.3,0,1819,266
1525.42,1,1383,270
1421.01,1,1255,317
1755.38,1,1589,319
1730.56,1,1631,181
1931.46,0,1786,284
2018.73,1,1862,299
1480.06,1,1402,140
1543.92,0,1421,239
1471.94,1,1292,341
1448.75,1,1279,324
1824.79,1,1659,316
1989.24,1,1847,269
1836.64,1,1641,375
1955.43,1,1793,309
1737.31,1,1514,428
1292.44,1,1131,306
1601.01,1,1452,280
1148.94,0,917,457
1519.88,1,1416,194
1628.26,1,1436,370
1324.83,0,1082,480
1144.4,1,950,368
2363.07,1,2263,187
1474.69,0,1377,189
1721.91,1,1530,366
1756.62,1,1602,292
1236.73,1,1141,172
1961,1,1827,253
1466.35,1,1367,185
1464.96,1,1323,262
1789.07,0,1635,304
1790.85,1,1680,207
1967.46,1,1842,232
1587.54,0,1413,342
1688.43,0,1568,234
1908.64,1,1741,320
1687.5,0,1570,229
1463.32,1,1400,112
1955.31,1,1799,296
1763.42,0,1580,361
1855.63,1,1731,233
1748.49,0,1511,465
1944.25,1,1727,413
1376.39,1,1261,215
1851.78,1,1725,238
1559.83,1,1385,334
1995.92,1,1804,365
1357.03,1,1234,228
1763,1,1601,307
1367.44,1,1130,457
1861.69,1,1742,220
1671.74,0,1572,197
1677.1,0,1532,282
2408.07,1,2233,331
1821.55,1,1624,380
1217.1,1,1056,307
1822.57,1,1719,192
1690.72,1,1429,506
1362.11,1,1224,258
1547.84,1,1391,297
1587.14,1,1467,223
1671.21,1,1572,183
1656.37,1,1498,298
1341.87,1,1166,335
1588.91,1,1485,186
1385.05,0,1244,275
1563.79,1,1427,261
1468.1,1,1274,372
1385.49,0,1337,89
1436.66,0,1366,136
1234.62,0,1127,209
1762.42,1,1611,289
1955.24,0,1873,158
1848.33,0,1678,334
1603.85,0,1419,363
1868.26,1,1763,193
1400.88,1,1226,337
1578.51,0,1392,366
1900.64,0,1663,468
1256.37,0,1073,359
1781.12,1,1670,209
1948.16,1,1829,222
955.73,1,762,370
1624.07,1,1462,306
1541.35,1,1408,250
1270.64,1,1148,230
1430.73,1,1309,227
1770.43,1,1661,206
1984.86,1,1835,282
1774.41,0,1661,221
2088.17,1,1881,400
1736.24,1,1510,437
1450.22,1,1396,92
1652.75,1,1475,343
1101.59,1,948,288
1674.08,1,1498,334
1291.64,1,1192,185
1162.64,1,1031,244
1742.7,1,1518,433
1195.96,1,1167,45
502.94,0,5000,500
