age,loc,hard,danger
79,rural,0,1
77,urban,0,1
87,rural,1,1
40,rural,1,1
53,suburban,0,0
81,suburban,0,1
87,rural,1,1
40,rural,0,1
15,rural,0,0
72,urban,0,1
50,urban,1,1
57,suburban,1,1
19,suburban,1,1
44,rural,1,1
95,suburban,0,1
71,urban,1,1
73,urban,0,1
51,urban,0,1
15,rural,0,0
79,rural,0,1
44,suburban,0,1
67,suburban,0,1
10,urban,1,1
17,suburban,1,1
51,urban,0,1
35,suburban,0,1
61,suburban,1,1
40,rural,1,1
60,rural,0,1
20,suburban,0,1
90,rural,0,1
56,rural,0,1
12,rural,1,1
8,suburban,1,1
7,suburban,0,1
97,suburban,1,1
69,suburban,1,1
10,urban,1,1
63,urban,0,1
100,urban,0,1
19,urban,0,1
82,rural,0,1
55,rural,0,1
66,suburban,0,1
30,rural,0,1
38,rural,0,1
75,urban,0,1
37,rural,1,1
24,suburban,1,1
88,urban,0,1
72,urban,1,1
75,urban,0,1
72,urban,0,1
94,suburban,0,1
83,rural,0,1
29,rural,0,1
24,suburban,1,1
24,rural,0,1
82,rural,1,1
6,rural,0,0
79,rural,0,1
79,suburban,1,1
99,urban,0,1
81,urban,0,1
64,rural,1,1
92,suburban,1,1
90,urban,1,1
5,suburban,0,0
54,rural,0,1
7,urban,1,1
52,rural,0,1
76,urban,1,1
96,suburban,1,1
53,urban,0,1
12,suburban,0,1
41,urban,0,1
24,suburban,0,1
45,rural,1,1
60,rural,1,1
6,rural,0,1
29,rural,1,0
34,urban,0,1
12,rural,0,1
21,urban,0,1
84,urban,0,1
62,rural,1,1
29,suburban,0,0
16,suburban,0,0
47,urban,0,1
37,urban,1,1
85,urban,0,1
67,urban,0,1
63,suburban,1,1
16,rural,0,1
53,rural,1,1
52,suburban,0,1
18,suburban,1,1
44,suburban,0,0
95,rural,0,1
60,rural,0,1
14,urban,0,1
65,rural,0,1
15,suburban,1,1
54,urban,0,1
68,suburban,1,1
66,suburban,0,1
81,rural,1,1
54,suburban,0,1
74,urban,1,1
29,suburban,0,1
19,urban,0,0
22,rural,0,1
31,rural,1,1
72,urban,0,1
43,suburban,0,1
31,rural,0,1
51,urban,0,1
52,suburban,0,1
47,suburban,0,1
59,rural,1,1
29,suburban,1,1
75,urban,0,1
44,rural,0,1
36,rural,0,1
40,urban,1,1
35,urban,1,1
24,urban,1,1
55,rural,1,1
16,urban,0,1
51,rural,0,0
73,rural,0,1
57,urban,0,1
25,suburban,1,1
80,urban,1,1
74,suburban,0,1
90,rural,1,1
37,urban,1,1
84,rural,0,1
52,rural,0,1
79,urban,0,1
22,urban,1,1
78,suburban,0,1
15,suburban,0,1
59,rural,1,1
98,rural,1,1
65,suburban,0,1
9,suburban,0,1
90,urban,1,1
47,suburban,0,1
78,suburban,1,1
